"STATUS","MNET_ID","ELEVATION","NAME","SHORTNAME","DISTANCE","SGID","NWSFIREZONE","STID","LONGITUDE","COUNTY","CWA","STATE","NWSZONE","LATITUDE","TIMEZONE","GACC","COUNTRY","ID"
"ACTIVE","25","5130","PARADISE","SNOTEL","4.97","NW02","SEW659","AFSW1","-121.74765","Lewis","SEW","WA","WA569","46.78265","America/Los_Angeles","NWCC","US","1519"
"ACTIVE","25","4610","BUMPING RIDGE","SNOTEL","20.73","NW05","OTX680","BMPW1","-121.33058","Yakima","PDT","WA","WA520","46.81003","America/Los_Angeles","NWCC","US","1521"
"ACTIVE","25","4170","BURNT MOUNTAIN","SNOTEL","15.58","NW02","SEW659","BUSW1","-121.94032","Pierce","SEW","WA","WA569","47.04440","America/Los_Angeles","NWCC","US","1523"
"ACTIVE","25","5800","CORRAL PASS","SNOTEL","18.17","NW02","SEW659","COPW1","-121.46464","Pierce","SEW","WA","WA569","47.01872","America/Los_Angeles","NWCC","US","1524"
"ACTIVE","25","5410","MORSE LAKE","SNOTEL","13.79","NW05","OTX680","MRSW1","-121.48270","Yakima","PDT","WA","WA520","46.90585","America/Los_Angeles","NWCC","US","1540"
"ACTIVE","25","3160","MOWICH","SNOTEL","10.26","NW02","SEW659","MHSW1","-121.95232","Pierce","SEW","WA","WA569","46.92833","America/Los_Angeles","NWCC","US","1544"
"ACTIVE","25","5800","PIGTAIL PEAK","SNOTEL","24.03","NW02","OTX680","PGPW1","-121.38643","Yakima","PDT","WA","WA520","46.62153","America/Los_Angeles","NWCC","US","1547"
"ACTIVE","25","4440","WHITE PASS E.S.","SNOTEL","23.32","NW05","OTX680","WHPW1","-121.38153","Yakima","PDT","WA","WA520","46.64142","America/Los_Angeles","NWCC","US","1572"
"INACTIVE","2","2405","GREENWATER","RAWS","19.77","NW02","SEW659","GWFW1","-121.595556","Pierce","SEW","WA","WA569","47.115556","America/Los_Angeles","NWCC","US","2386"
"INACTIVE","2","3600","HAGER CREEK","RAWS","21.01","NW02","SEW659","HGFW1","-121.627778","Lewis","SEW","WA","WA569"," 46.564444","America/Los_Angeles","NWCC","US","2388"
"INACTIVE","36","4308","White Pass Summit","WA DOT","23.16","NW05","SEW659","TWHIT","-121.39","Lewis","SEW","WA","WA569","46.638","America/Los_Angeles","NWCC","US","2566"
"INACTIVE","37","6240","Chinook Pass","NWAC","11.60","NW02","SEW659","CHPW1","-121.52","Pierce","SEW","WA","WA569","46.87","America/Los_Angeles","NWCC","US","2596"
"ACTIVE","106","3532","WHITE RIVER RANGER STATION RAINIER NATIONAL PARK AT SUNRISE","HADS","10.48","NW02","SEW659","WHTW1","-121.55444","Pierce","SEW","WA","WA569","46.9025","America/Los_Angeles","NWCC","US","2599"
"INACTIVE","37","6870","Crystal Mountain","NWAC","15.13","NW02","SEW659","CMTW1","-121.47","Pierce","SEW","WA","WA569","46.94","America/Los_Angeles","NWCC","US","2601"
"INACTIVE","37","5499","Paradise Mt. Rainier","NWAC","4.69","NW02","SEW659","PVCW1","-121.73","Pierce","SEW","WA","WA569","46.79","America/Los_Angeles","NWCC","US","2604"
